country,provider,count,matched,entity_id,has_geo,locality,latitude,longitude,wikidata_uri
france,"Ministry of Culture and Communication, Regional Archaeology Service",110142,True,http://data.europeana.eu/organization/1125,True,Strasbourg,48.5876588,7.7526608,
france,National Audiovisual Institute France,54491,True,http://data.europeana.eu/organization/4362,True,Bry-sur-Marne Cedex,48.8363793,2.5309062,http://www.wikidata.org/entity/Q1665109
france,Interuniversity Health Library,47992,True,http://data.europeana.eu/organization/4068,True,Paris,48.8511917,2.3408544,
france,Palais Galliera - Musée de la Mode de la Ville de Paris,44495,False,,,,,,
france,Mobilier National Collections,24284,True,http://data.europeana.eu/organization/1225,True,Paris,48.8333911,2.3513344,
france,Center for Research in Ethnomusicology,21446,True,http://data.europeana.eu/organization/4002,True,Nanterre,48.90417,2.2104,
france,National and University Library of Strasbourg,21320,True,http://data.europeana.eu/organization/4410,False,Strasbourg Cedex,,,
france,House Culture Yiddish,14330,True,http://data.europeana.eu/organization/4108,True,Paris,48.8705316,2.3588576,
france,Museum of Decorative Arts,12967,True,http://data.europeana.eu/organization/1390,True,Paris,48.8631146,2.3334945,http://www.wikidata.org/entity/Q1319378
france,Philharmonie de Paris,12091,False,,,,,,
france,National Archives of France,11709,True,http://data.europeana.eu/organization/962,True,Pierrefitte-sur-Seine,48.9480891,2.3643991,
france,Rhône-Alpes Laboratory for Historical Research,10046,False,,,,,,
france,Library of the Alliance Israélite Universelle,6229,True,http://data.europeana.eu/organization/4430,True,Paris,48.8472448,2.2633049,
france,The Paris Observatory Library,3085,True,http://data.europeana.eu/organization/4082,True,Paris,48.8357663,2.3345514,
france,Departmental Units of Architecture and Heritage,2587,True,http://data.europeana.eu/organization/982,True,Épinal,48.187918,6.438637,
germany,Bavarian State Library,2176001,True,http://data.europeana.eu/organization/4484,True,Munich,48.147493,11.5803217,http://www.wikidata.org/entity/Q256507
germany,Deutsche Fotothek,1314229,False,,,,,,
germany,State Archives of Baden-Württemberg,827603,False,,,,,,
germany,German Documentation Center for Art History - Marburg Picture Index,320532,True,http://data.europeana.eu/organization/4556,True,Marburg,50.8109293,8.7718294,http://www.wikidata.org/entity/Q860570
germany,German National Library,304053,True,http://data.europeana.eu/organization/1301,True,Frankfurt am Main,50.13121,8.6831877,http://www.wikidata.org/entity/Q27302
germany,Berlin-Dahlem Botanical Garden and Botanical Museum,252957,False,,,,,,
germany,Library of the Friedrich Ebert Foundation,201518,True,http://data.europeana.eu/organization/4102,False,,,,
germany,Museum of City History Leipzig,182494,True,http://data.europeana.eu/organization/2064,True,Leipzig,51.3418578,12.3763475,http://www.wikidata.org/entity/Q2327183
germany,Berlin State Library,169601,True,http://data.europeana.eu/organization/4349,True,Berlin,52.5175461,13.3917624,http://www.wikidata.org/entity/Q170109
germany,Museum of Architecture at Berlin Institute of Technology,161890,True,http://data.europeana.eu/organization/4273,True,Berlin,52.513524,13.323819,
germany,Archives of Social Democracy,133032,True,http://data.europeana.eu/organization/4311,False,,,,
germany,State and University Library Hamburg Carl von Ossietzky,131101,True,http://data.europeana.eu/organization/1599,False,Hamburg,,,
germany,Heidelberg University Library,130773,True,http://data.europeana.eu/organization/1893,True,Heidelberg,49.409752,8.70564,http://www.wikidata.org/entity/Q880794
germany,Teßmann Library,115179,True,http://data.europeana.eu/organization/1919,False,Bolzano,,,
germany,German Archaeological Institute,104659,True,http://data.europeana.eu/organization/4493,True,Berlin,52.4607222,13.300707,http://www.wikidata.org/entity/Q695302
germany,"Ethnological Museum, Staatliche Museen zu Berlin",104638,True,http://data.europeana.eu/organization/3702,True,Berlin,52.5173885,13.4007319,
