country,provider,count,city,latitude,longitude,source
netherlands,Historic Center Limburg,62704,Maastricht,50.845761,5.692831,wikidata_via_europeana_link
portugal,National Library of Portugal,35785,,38.75108,-9.152573,wikidata_via_europeana_link
portugal,Assembly of the Republic - Library,1663,,38.71269519,-9.15387796,wikidata_via_europeana_link
italy,Cineteca di Bologna,73157,Bologna,44.4988658,11.3368279,wikidata_name_search
france,Philharmonie de Paris,12091,Paris,48.891566,2.39407,wikidata_name_search
germany,Deutsche Fotothek,1314229,Dresden,51.02781,13.73674,wikidata_name_search
germany,Berlin-Dahlem Botanical Garden and Botanical Museum,252957,Steglitz-Zehlendorf,52.455,13.3036,wikidata_name_search
germany,Berlin-Brandenburg Economic Archive,72335,Berlin,52.584017166,13.316706473,wikidata_name_search
spain,Ajuntament de Girona,208078,,41.983137861,2.824799589,wikidata_name_search
netherlands,Museon-Omniversum,93077,The Hague,52.088777777,4.281,wikidata_name_search
netherlands,St. Catherine's Convent Museum,60795,Utrecht,52.087222,5.124167,wikidata_name_search
italy,European Library of Information and Culture,35475,Milan,45.472601263,9.188542864,wikidata_name_search
italy,Braidense National Library,21526,Milan,45.471947,9.187837,wikidata_name_search
france,Ministry of Culture,173279,Paris,48.86255840307406,2.3388283365026106,manual correction
france,National Archives of France,11709,Paris,48.9475,2.3641,wikidata_name_search
spain,Complutense University of Madrid,121238,Madrid,40.449038888,-3.727030555,wikidata_name_search
netherlands,Cultural Heritage Agency of the Netherlands,526228,,52.038333,4.334167,wikidata_name_search
netherlands,Internet Archive,176784,,37.78227145,-122.471586527,wikidata_name_search
portugal,University of Porto,5111,Porto,41.14666667,-8.61555556,wikidata_name_search
portugal,Calouste Gulbenkian Foundation,3415,Lisbon,38.73722,-9.15417,wikidata_name_search
portugal,University of Coimbra,1155,Coimbra,40.2074,-8.4265,wikidata_name_search
portugal,Lisbon Newspaper Library,468,São Domingos de Benfica,38.755,-9.1725,wikidata_name_search
Spain,Virtual Library of Historical Press,1735320,Madrid,40.4206699298513,-3.696534590397076,manual
Germany,State Archives of Baden-Württemberg,827603,Stuttgart,48.848397483733265,9.185433331037915,manual
Italy,Cinecittà - Luce,442536,Rome,41.849810560200865,12.574519080840693,manual
Spain,Galiciana. Arquivo Dixital de Galicia,234326,Santiago de Compostela,42.94991406654687,-8.551490373538044,manual
Italy,Historical Archive of the Presidency of the Republic,212160,Rome,41.90046503888887,12.488921680843333,manual
Germany,Library of the Friedrich Ebert Foundation,201518,Bonn,50.70257995350261,7.135440740863708,manual
Spain,Digital Library of Andalusia,145620,Granada,37.18282776503285,-3.6056596093053677,manual
Spain,Maresía: Prensa digitalizada y Patrimonio documental,141919,San Cristóbal de La Laguna,28.46926099886812,-16.30470874858524,manual
Germany,Archives of Social Democracy,133032,Bonn,50.702368944477904,7.134824767850492,manual
Germany,State and University Library Hamburg Carl von Ossietzky,131101,Hamburg,53.56490744018377,9.985154223852446,manual
Spain,Canary Islands Historical Photography Archive,121890,Las Palmas de Gran Canaria,28.10709632881129,-15.417504652154406,manual
Germany,Teßmann Library,115179,Italy,46.50323665221172,11.342929852259413,manual
Spain,Centro de Estudios de Castilla - La Mancha,94223,Ciudad Real,38.993031000616305,-3.9196156769745314,manual
Spain,Foundation Virtual Library Miguel de Cervantes,70971,Alicante,38.38507646054709,-0.5139165229076937,manual
Spain,Digital Library of Madrid,69472,Madrid,40.39987943495303,-3.690579871358554,manual
Italy,Central Institute for the Union Catalogue of Italian Libraries,66672,Rome,41.90631839791796,12.50879375200811,manual
Netherlands,IMSLP/Petrucci Music Library,61552,,,,manual
Italy,Central Museum of the Risorgimento,53211,Rome,41.89413575264878,12.483798667349626,manual
France,Palais Galliera - Musée de la Mode de la Ville de Paris,44495,Paris,48.86608033629242,2.2965618523973155,manual
Italy,Experimental Cinematography Center,40538,Rome,41.851058155342265,12.569479552005237,manual
Italy,Epigraphic Dabatase Bari,40283,Bari,41.12112736784277,16.868604802773277,manual
Italy,Marciana National Library,29597,Venice,45.43353428986529,12.339422752198944,manual
