country,provider,count
spain,Museum of Design of Barcelona,834
spain,Bilbao Municipal Library Network,787
spain,Andalusian Centre of Contemporary Art,700
spain,Santa Cruz Museum,644
spain,Municipal Archive of Huelva,638
spain,Educational Digital Library of Murcia,633
spain,Museum of Ávila,625
spain,Massó Museum,616
spain,Archaeological and Palaeontological Museum of the Community of Madrid,597
spain,University of the Basque Country,566
spain,Cantabrian Maritime Museum,565
spain,Juan Cabré Museum,559
spain,Museum of Cultures of the World,550
spain,Thyssen-Bornemisza Museum,535
spain,Getxo Municipal Libraries,525
spain,Julio Gavín Drawing Museum. Larrés Castle,508
spain,Museum of Fine Arts of La Coruña,494
spain,San Isidro Museum. The origins of Madrid,482
spain,ICO Museum,468
spain,Fundación Felipe González,436
spain,Calatayud Museum,431
spain,Paleontological Ensemble of Teruel Foundation Museum,426
spain,ERESBIL. Musikaren Euskal Artxiboa - Archivo Vasco de la Música,416
spain,Museum of Carlism,395
spain,Historical Archive of the Nobility,391
spain,Museum of Valladolid,368
spain,Museum of Contemporary Art of Madrid,366
spain,Museum of Albarracín,357
spain,"""Pilar Aróstegui"" Municipal Archive",352
spain,Museum of Palencia,333
spain,Ethnographic Museum of Cantabria,322
spain,Ric House. Barons of Valdeolivos Palace,316
spain,Llodio Municipal Library,294
spain,Spanish Public Television and Radio (RTVE),290
spain,Museum of Prehistory and Archaeology of Cantabria,289
spain,Royal Basque Society of the Friends of the Country,282
spain,Museum of Popular Beliefs and Religiosity of the Aragonese Pyrenees,278
spain,Cervantes Birthplace Museum,276
spain,Archaeological Museum of Úbeda,275
spain,Museum of the Cultural Park of Molinos,274
spain,Word Archive of Castilla La Mancha,274
spain,El Greco Museum,263
spain,Museum of the Theatre of Caesaraugusta,261
spain,Daroca Regional Museum,260
spain,CA2M Dos de Mayo Art Centre,240
spain,Museum of Popular Arts and Customs of Alto Guadalquivir,222
spain,Brújula. Repositorio Institucional en acceso abierto de la Universidad Loyola,217
spain,Museum of Goya's Engravings,213
spain,Catalunya Film Archive,208
spain,Government of Catalonia. Vallès Occidental County Archives,207
spain,Museum of Cuenca,207
spain,Museum of Salamanca,200
spain,Museum of Segovia,197
spain,Museum of León,195
spain,Pablo Gargallo Museum,190
spain,Government of Catalonia. Anoia County Archives,180
spain,Lope de Vega House Museum,179
spain,Museo de Guadalajara,179
spain,Cervantes House Museum,178
spain,e-archivo Universidad Carlos III de Madrid,175
spain,Dispersed Municipal Collection and Hermitage of San Antonio de la Florida (Madrid),172
spain,Fire and Firefighters Museum,172
spain,Monographic Museum of the Viladonga Hillfort,165
spain,Diocesan Museum of Jaca,156
spain,Ciudad Real Museum,151
spain,Mozaika,150
spain,Museum of Zamora,146
spain,Francisco Giner de los Ríos Foundation,136
spain,The Prado Museum,124
spain,Digital Historical Map Library of Extremadura,120
spain,Goya Secondary School of Zaragoza,112
spain,Jovellanos Birthplace Museum,108
spain,Government of Catalonia. Alt Empordà County Archives,105
spain,Vega del Turia Secondary School of Teruel,101
spain,Salvador Victoria Foundation-Museum,99
spain,AD&D 4D Association for 4D Documentation and Dissemination,97
spain,Archive of Sound and Image of Mallorca,97
spain,Nicanor Piñole Museum,96
spain,University of Valencia,92
spain,Zaragoza School of Arts,91
