provider,provider_category,classification_source
Clermont Library,library/archive,provider_name
Virtual library on the first socialisms,library/archive,provider_name
Conservatory of the Gironde Estuary,audiovisual/film archive,provider_name
Pôle de la Mémoire Locale,other,unmatched
TheFactStories,other,unmatched
Institute of Computer Science - Foundation for Research and Technology Hellas,academic/research institution,provider_name
Cinémémoire - Amateur Film Library of Marseille,library/archive,provider_name
Ministry of Reconstruction and Urban Planning,government/administrative body,provider_name
National Customs Museum,art/history museum,provider_name
In Video Veritas,other,unmatched
Louvre,art/history museum,wikidata_description
Orsay Museum,art/history museum,provider_name
Centre Pompidou - National museum for modern art - Industrial Design Centre,art/history museum,provider_name
Heritage Malta,library/archive,wikidata_sparql_fallback
Museum of Fine Arts in Lyon,art/history museum,provider_name
National Centre for Prehistory,other,unmatched
National Monuments Center,other,unmatched
Palace of Versailles and Trianon,art/history museum,provider_name
Bavarian State Library,library/archive,provider_name
Deutsche Fotothek,library/archive,wikidata_description
State Archives of Baden-Württemberg,library/archive,provider_name
German Documentation Center for Art History - Marburg Picture Index,other,unmatched
German National Library,library/archive,provider_name
Berlin-Dahlem Botanical Garden and Botanical Museum,natural history/science institution,provider_name
Library of the Friedrich Ebert Foundation,library/archive,provider_name
Museum of City History Leipzig,art/history museum,provider_name
Berlin State Library,library/archive,provider_name
Museum of Architecture at Berlin Institute of Technology,art/history museum,provider_name
Archives of Social Democracy,library/archive,provider_name
State and University Library Hamburg Carl von Ossietzky,library/archive,provider_name
Heidelberg University Library,library/archive,provider_name
Teßmann Library,library/archive,provider_name
German Archaeological Institute,art/history museum,provider_name
"Ethnological Museum, Staatliche Museen zu Berlin",art/history museum,provider_name
Toy Museum of the City of Nuremberg,art/history museum,provider_name
Berlin-Brandenburg Economic Archive,library/archive,provider_name
DFF – German Film Institute & Film Museum,audiovisual/film archive,provider_name
Karlsruhe Municipal Archives,library/archive,provider_name
Herzog Anton Ulrich Museum,art/history museum,provider_name
Epigraphic Database Heidelberg,art/history museum,provider_name
University & State Library Fulda,library/archive,provider_name
Herzog August Library,library/archive,provider_name
