provider,country,count,provider_category,classification_source
National Museum of Decorative Arts,spain,18154,art/history museum,provider_name
Research deposit of the University of Seville,spain,18068,academic/research institution,provider_name
Jaume I University Repository,spain,17455,library/archive,provider_name
Museum of America,spain,17003,art/history museum,provider_name
Ignacio Larramendi Foundation,spain,16095,academic/research institution,manual_override
Institutional Climatological and Meteorological Archive,spain,15742,library/archive,provider_name
Virtual Library of Aragon,spain,15675,library/archive,provider_name
Museo del Prado digital library,spain,15377,library/archive,provider_name
Biblioteca Virtual de la Real Academia Nacional de Farmacia,spain,14747,library/archive,provider_name
The Digital Network of Museum Collections in Spain,spain,14716,art/history museum,provider_name
University of Lleida,spain,14556,academic/research institution,provider_name
Archive of the Crown of Aragon,spain,13893,library/archive,provider_name
Navarra Digital Library,spain,13479,library/archive,provider_name
City Archive of Arganda del Rey,spain,13459,library/archive,provider_name
National Museum of Roman Art,spain,13278,art/history museum,provider_name
Museum of Popular Arts and Customs of Seville,spain,11553,art/history museum,provider_name
Lázaro Galdiano Museum,spain,10848,art/history museum,provider_name
Library Ciconia,spain,10822,library/archive,provider_name
National Museum of Romanticism,spain,10091,art/history museum,provider_name
Virtual Law Library of Aragon,spain,9967,library/archive,provider_name
Eusko Jaurlaritza - Gobierno Vasco,spain,8389,government/administrative body,provider_name
Collective Catalog of the Library Network of the State Archives,spain,8156,library/archive,provider_name
Jaén Museum,spain,8028,art/history museum,provider_name
National Museum of Anthropology,spain,7962,art/history museum,provider_name
Archivo de la Diputación Provincial de Cáceres,spain,7784,library/archive,provider_name
Cerralbo Museum,spain,7434,art/history museum,provider_name
National Museum of Underwater Archaeology,spain,7087,art/history museum,provider_name
Dadun: Digital Academic Repository of the University of Navarra,spain,6942,library/archive,provider_name
Trencadís. The Municipal Library Network of the Diputació de Barcelona,spain,6441,library/archive,provider_name
Sancho el Sabio Foundation,spain,6426,library/archive,wikidata_sparql_fallback
Frederic Marès Museum,spain,6159,art/history museum,provider_name
University Institute for Research in Iberian Archeology,spain,5692,academic/research institution,confirmed_fix
Repository of the Catholic University of Valencia San Vicente Mártir,spain,5578,library/archive,provider_name
National Theatre Museum,spain,5463,art/history museum,provider_name
University of Barcelona. Digital Heritage Library,spain,5356,library/archive,provider_name
"Minerva, Institutional Repository of the University of Santiago de Compostela",spain,5144,library/archive,provider_name
Archivo de la Diputación de Castellón,spain,4892,library/archive,provider_name
"Bitoteko, Hispanic Esperanto Federation Library",spain,4482,library/archive,provider_name
Museo Etnológico de Ribadavia,spain,4344,art/history museum,provider_name
Diocesan Seminary of Vitoria-Gasteiz,spain,4221,government/administrative body,manual_override
Dialnet,spain,4086,library/archive,wikidata_sparql_fallback
Museum of the Asturian People,spain,3813,art/history museum,provider_name
González Martí National Museum of Ceramics and Sumptuary Arts,spain,3748,art/history museum,provider_name
National Museum and Research Center of Altamira,spain,3662,art/history museum,provider_name
Museum of Teruel,spain,3656,art/history museum,provider_name
Museum of Navarra,spain,3378,art/history museum,provider_name
University of Oviedo,spain,3268,academic/research institution,provider_name
Document Repository of the University of Valladolid,spain,3199,library/archive,provider_name
Casa de los Tiros Museum,spain,3185,art/history museum,provider_name
Archivo de la Diputación Provincial de Badajoz,spain,3171,library/archive,provider_name
Repository of Teaching and Research Objects of the University of Cádiz,spain,3127,library/archive,provider_name
Capuchin Central Library of Spain,spain,3124,library/archive,provider_name
Institutional Repository of the University of Malaga,spain,3079,library/archive,provider_name
