provider,country,count,provider_category,classification_source
"Kupferstichkabinett, Staatliche Museen zu Berlin",germany,17959,art/history museum,provider_name
Prussian Palaces and Gardens Foundation Berlin-Brandenburg,germany,17895,art/history museum,manual_override
Federal Waterways Engineering and Research Institute,germany,17892,academic/research institution,provider_name
"Natural History Museum, Berlin",germany,16336,natural history/science institution,provider_name
Field Museum of Natural History,germany,15902,natural history/science institution,manual_override
Heinrich-Barth-Institut e.V.,germany,15320,academic/research institution,manual_override
Kassel University Library,germany,14409,library/archive,provider_name
Leipzig University Library,germany,14351,library/archive,provider_name
Kalliope,germany,14295,library/archive,wikidata_description
Saxon State and University Library Dresden,germany,14079,library/archive,provider_name
"Museum of European Cultures, Staatliche Museen zu Berlin",germany,13647,art/history museum,provider_name
Art collections of the Veste Coburg,germany,13470,art/history museum,provider_name
"Institute of Art History and Archaeology of Europe, Martin Luther University Halle Wittenberg",germany,12862,art/history museum,provider_name
Berlin-Brandenburg Academy of Sciences and Humanities,germany,12231,academic/research institution,provider_name
Kunstpalast,germany,12226,art/history museum,manual_override
Montanhistorisches Dokumentationszentrum,germany,11804,library/archive,wikidata_sparql_fallback
Dresden State Art Collections. Porcelain collection,germany,11325,art/history museum,provider_name
"University of Graz, Institute of Plant Sciences - Herbarium GZU",germany,11219,natural history/science institution,provider_name
Hirschfelde Power Station Foundation,germany,11139,other,manual_override
Museum of Islamic Art,germany,11090,art/history museum,provider_name
Goethe University Frankfurt,germany,10298,academic/research institution,provider_name
Dresden State Art Collections. Sculpture collection,germany,10109,art/history museum,provider_name
German National Library of Medicine,germany,9829,library/archive,provider_name
Gotha Research Library,germany,9721,library/archive,provider_name
"BBAW, Corpus Nummorum",germany,9691,academic/research institution,manual_override
"Collection of Classical Antiquities, Berlin State Museums",germany,9598,art/history museum,manual_override
Technoseum,germany,9361,natural history/science institution,confirmed_fix
Museum of Things,germany,9340,art/history museum,provider_name
German Exile Archive,germany,9246,library/archive,provider_name
Baden State Library,germany,9134,library/archive,provider_name
Leibniz Institute for the German Language - Library,germany,8504,library/archive,provider_name
Schöneweide Industrial Museum,germany,8390,art/history museum,provider_name
Art Collection of the University Göttingen,germany,8292,art/history museum,provider_name
FHXB Friedrichshain-Kreuzberg Museum,germany,8289,art/history museum,provider_name
Deutsche Kinemathek - Museum für Film und Fernsehen,germany,8078,audiovisual/film archive,manual_override
"Eberhard Karls Universität Tübingen, UB - Universitätsarchiv",germany,7550,library/archive,wikidata_sparql_fallback
Stiftung Domäne Dahlem - Estate and Museum,germany,7008,art/history museum,provider_name
"Museum of Arts and Crafts, Hamburg",germany,6692,art/history museum,provider_name
Kiel University Library,germany,6589,library/archive,provider_name
University and State Library Darmstadt,germany,6522,library/archive,provider_name
TIB - Leibniz Information Centre for Science and Technology and University Library,germany,6405,library/archive,provider_name
"Deutsches Museum, Archiv",germany,6070,library/archive,provider_name
Bielefeld University Library,germany,6023,library/archive,provider_name
Westphalian Folk Song and Sound Archive,germany,5734,library/archive,provider_name
Zoological Research Museum Koenig,germany,5602,natural history/science institution,confirmed_fix
Münchner Stadtmuseum,germany,5259,art/history museum,wikidata_description
Theatermuseum der Landeshauptstadt Düsseldorf,germany,5210,art/history museum,manual_override
Mecklenburg-Vorpommern state library,germany,5063,library/archive,provider_name
Allied Museum,germany,5045,art/history museum,provider_name
Gleimhaus - Museum of the German Enlightenment,germany,5019,art/history museum,provider_name
"Central Archive, Berlin State Museums",germany,5013,library/archive,provider_name
Dresden State Art Collections. Museum of Decorative Arts,germany,4968,art/history museum,provider_name
Cinecittà - Luce,italy,442536,audiovisual/film archive,provider_name
Historical Archive of the Presidency of the Republic,italy,212160,library/archive,provider_name
National Central Library of Rome,italy,200231,library/archive,provider_name
Internet Culturale,italy,109101,library/archive,manual_override
"Department of Life Sciences, University of Trieste",italy,101323,academic/research institution,provider_name
Epigraphic Database Roma,italy,86827,academic/research institution,confirmed_fix
Cineteca di Bologna,italy,73157,audiovisual/film archive,wikidata_description
Central Institute for the Union Catalogue of Italian Libraries,italy,66672,library/archive,manual_override
Central Museum of the Risorgimento in Rome,italy,53211,art/history museum,provider_name
Luigi Micheletti Foundation,italy,51704,library/archive,wikidata_description
Experimental Cinematography Center,italy,40538,audiovisual/film archive,manual_override
Epigraphic Dabatase Bari,italy,40283,academic/research institution,confirmed_fix
European Library of Information and Culture,italy,35475,library/archive,provider_name
Marciana National Library,italy,29597,library/archive,provider_name
Turin Gallery for Modern and Contemporary Art,italy,29395,art/history museum,provider_name
Braidense National Library,italy,21526,library/archive,manual_override
Library of the S. Pietro a Majella Conservatory,italy,20154,audiovisual/film archive,provider_name
Rossimoda Shoe Museum,italy,13489,art/history museum,provider_name
Provincial Library Magna Capitana,italy,13065,library/archive,provider_name
Estense University Library,italy,12372,library/archive,provider_name
Missoni,italy,12080,other,manual_override
Photographic Archive of the Civic Museums of Turin,italy,11404,library/archive,provider_name
"New Manuscript Library, Veneto Region",italy,11042,library/archive,provider_name
Pitti Immagine,italy,10694,other,manual_override
Galileo Museum,italy,9219,art/history museum,provider_name
The Central National Library of Florence,italy,7790,library/archive,provider_name
Digital Library Trentino,italy,7292,library/archive,provider_name
University Library of Genova,italy,7063,library/archive,provider_name
Opera Institute of the Italian Vocabulary,italy,6370,academic/research institution,manual_override
Museo della Carta di Pescia,italy,5288,art/history museum,provider_name
Marucelliana Library,italy,5225,library/archive,provider_name
University Library Of Pisa,italy,5170,library/archive,provider_name
University of Padua,italy,4168,academic/research institution,provider_name
Madama Palace,italy,3825,art/history museum,provider_name
University of Pisa,italy,3821,academic/research institution,provider_name
University of Padua - Botanical Garden Library,italy,3612,library/archive,provider_name
Modern and Contemporary History Library,italy,3543,library/archive,provider_name
Prato Textile Museum,italy,3535,art/history museum,provider_name
Casanatense Library,italy,3448,library/archive,provider_name
Querini Stampalia Foundation,italy,3266,art/history museum,manual_override
Palatine Library,italy,3216,library/archive,provider_name
State Archives of Campobasso,italy,2930,library/archive,provider_name
Promoter Digital Gallery,italy,2553,art/history museum,provider_name
Pitti Palace - Museum of Costume and Fashion,italy,2499,art/history museum,provider_name
Alessandrina University Library,italy,2129,library/archive,provider_name
Museum of Oriental Art,italy,2041,art/history museum,provider_name
Brixiana,italy,1886,library/archive,confirmed_fix
Superintendence for Cultural Heritage of the Autonomous Province of Trento,italy,1863,government/administrative body,provider_name
The Institute of Heritage Sciences,italy,1811,natural history/science institution,manual_override
Biblioteca Sportiva Nazionale,italy,1487,library/archive,provider_name
State Library of the National Monument of Montecassino,italy,1363,library/archive,provider_name
Library of the Cherubini Conservatory of Music,italy,1328,audiovisual/film archive,provider_name
Library De Gemmis,italy,1238,library/archive,provider_name
University of Bologna,italy,1190,academic/research institution,provider_name
GoTellGo Cultural Association,italy,1180,other,manual_override
Turin National University Library,italy,1127,library/archive,provider_name
Polytecnic University of Milan - Computer Vision & Reverse Engineering Lab,italy,1041,academic/research institution,provider_name
Byterfly,italy,1017,library/archive,manual_override
Library of Archeology and History Of Art,italy,966,library/archive,provider_name
Library of Archeology and History of Art,italy,924,library/archive,provider_name
National Library of Potenza,italy,860,library/archive,provider_name
Salvatore Ferragamo Museum,italy,858,art/history museum,provider_name
Luigi Sturzo Institute,italy,829,library/archive,wikidata_sparql_fallback
"Veneto Region, The Music Fund of St. Mary of Consolation in Venice",italy,759,audiovisual/film archive,provider_name
National Library of the Girolamini Oratory,italy,754,library/archive,provider_name
Pasquale Albino Library,italy,723,library/archive,provider_name
Institute of Musical Studies Luigi Boccherini,italy,703,audiovisual/film archive,provider_name
Municipality of Macerata,italy,678,government/administrative body,provider_name
Provincial Library of Brindisi,italy,655,library/archive,provider_name
National Library of Cosenza,italy,587,library/archive,provider_name
Provincial Library Nicola Bernardini,italy,570,library/archive,provider_name
State Library of Lucca,italy,536,library/archive,provider_name
Alinari Foundation for Photography,italy,498,art/history museum,provider_name
Rossini Foundation,italy,469,academic/research institution,manual_override
Augusta Municipal Library,italy,449,library/archive,provider_name
Public Library Pietro Acclavio,italy,436,library/archive,provider_name
"Cultural Hub of the Museums, Libraries and Archives - Bassano del Grappa",italy,402,library/archive,provider_name
Angelo Mai Civic Library and Municipal Historical Archives,italy,401,library/archive,provider_name
University Library of Pavia,italy,359,library/archive,provider_name
National Library of Attilio Hortis,italy,359,library/archive,provider_name
Library Charitas of San Francesco di Paola,italy,328,library/archive,provider_name
AMS Historica Bologna,italy,302,academic/research institution,manual_override
Franca Rame - Dario Fo Archive,italy,278,library/archive,provider_name
Municipal Library Giovanni Bovio,italy,251,library/archive,provider_name
Luigi Einaudi Foundation Library,italy,240,library/archive,provider_name
The Regional Archives Koper,italy,227,library/archive,provider_name
National Museum of Cinema,italy,210,audiovisual/film archive,manual_override
Museum of Agricultural Sciences,italy,208,art/history museum,provider_name
Roman Philharmonic Academy,italy,204,audiovisual/film archive,provider_name
Vatican Library,italy,199,library/archive,provider_name
Institute of Information Science and Technologies 'Alessandro Faedo',italy,198,academic/research institution,manual_override
Luigi Chiarini Library,italy,188,library/archive,provider_name
Archive of the Donizetti Museum,italy,186,library/archive,provider_name
Library of the Institute for the History of Resistance and Contemporary Society,italy,182,library/archive,provider_name
National Library of Bari,italy,173,library/archive,provider_name
International Museum and Library of Music,italy,162,audiovisual/film archive,provider_name
Library of Astronomical Observatory of Capodimonte,italy,157,library/archive,provider_name
CISA -Interdipartimental Center for Archaeology,italy,148,academic/research institution,confirmed_fix
Alfonso Rendano Municipal Theater Library,italy,139,library/archive,provider_name
State Library of Cremona,italy,131,library/archive,provider_name
Naturalis Biodiversity Center,netherlands,4601504,natural history/science institution,wikidata_description
"KB, National Library of the Netherlands",netherlands,987234,library/archive,provider_name
Cultural Heritage Agency of the Netherlands,netherlands,526228,government/administrative body,confirmed_fix
Rijksmuseum,netherlands,341407,art/history museum,wikidata_description
National Archives of the Netherlands,netherlands,283470,library/archive,provider_name
Internet Archive,netherlands,176784,library/archive,provider_name
International Institute of Social History,netherlands,165349,academic/research institution,wikidata_description
The Utrecht Archives,netherlands,159981,library/archive,provider_name
National Museum of Antiquities,netherlands,141529,art/history museum,provider_name
Historical Information Center of Brabant,netherlands,118373,library/archive,manual_override
Netherlands Institute for Sound & Vision,netherlands,98888,audiovisual/film archive,provider_name
Association De Hollandsche Molen,netherlands,94187,other,manual_override
Museon-Omniversum,netherlands,93077,natural history/science institution,confirmed_fix
Municipal Archives of Zaanstad,netherlands,85508,library/archive,provider_name
