country,academic/research institution,art/history museum,audiovisual/film archive,government/administrative body,library/archive,media/broadcast organization,natural history/science institution,other,coverage
france,0.00350356769606455,0.06808591423560889,0.018933953706513875,0.03722577714905168,0.7658125106616058,0.0,0.10627954296579524,0.00015873358535993792,1.0
germany,0.010731458964469432,0.15909307179206642,0.0,0.0,0.7611989785363925,0.006419889578956562,0.038711608920107936,0.00128016236766254,0.9774351701596554
italy,0.06487860570101332,0.15219529179600694,0.31627842757163377,0.03880153418294062,0.41273734211755664,0.0,0.000988334272005309,0.013072644479080712,0.9989521801202373
netherlands,0.028483043440709756,0.1637285581669219,0.017429951291955487,0.008915087652209244,0.26930241628186025,0.0,0.4999002155929839,0.012240293019600005,0.9999995654462406
portugal,0.05299661084814598,0.04725507300261694,0.004676171545424645,0.04539604455948176,0.3752877919032161,0.0036036551359235796,0.4695190836419797,0.001265569363211257,1.0
spain,0.06914373802365459,0.05113812125819922,0.0,0.05282704045323079,0.7829305817138489,0.013544779452921454,0.01415130746898533,0.0,0.9837355683708402
