country,academic/research institution,art/history museum,audiovisual/film archive,government/administrative body,library/archive,media/broadcast organization,natural history/science institution,other,coverage
france,0.38,1.76,1.86,8.77,76.58,0.0,10.63,0.02,100.0
germany,2.28,13.71,0.92,0.0,76.03,0.64,4.04,0.13,97.74
italy,13.43,7.09,31.64,0.14,46.19,0.0,0.1,1.31,99.9
netherlands,2.85,9.03,1.76,6.61,26.93,0.0,51.0,1.82,100.0
portugal,5.3,4.73,0.47,4.54,37.53,0.36,46.95,0.13,100.0
spain,7.0,5.03,0.0,5.28,78.29,1.35,1.42,0.0,98.37
