country,provider,count
germany,"Sculpture Collection and Museum of Byzantine Art, Staatliche Museen zu Berlin",1791
germany,Einbeck City Museum,1788
germany,"Museum of Decorative Arts, Staatliche Museen zu Berlin",1751
germany,Mathildenhöhe Institute,1739
germany,Dresden State Art Collections. Old Masters Picture Gallery,1637
germany,Museum village Cloppenburg - Lower Saxony,1625
germany,Dresden State Art Collections. Green Vault,1623
germany,Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures,1601
germany,Schleswig-Holstein State Library,1595
germany,Dresden State Art Collections. Armoury,1586
germany,German Museum of Technology,1573
germany,Hetjens – German Museum of Ceramics,1560
germany,German Text Archive,1547
germany,Museumsberg Flensburg,1483
germany,"Picture Gallery, Berlin State Museums",1368
germany,Museum for Sepulchral Culture,1362
germany,City Museum Bad Dürkheim in the cultural center Haus Catoir,1313
germany,"Museum of the Ancient Near East, Berlin State Museums",1265
germany,Berlin Wall Foundation,1242
germany,"Egyptian Museum and Papyrus Collection, Berlin State Museums",1236
germany,German Clock Museum,1234
germany,Rheinisches Schützenmuseum Neuss with Joseph-Lange-Schützenarchiv,1203
germany,"Bröhan-Museum, Berlin",1102
germany,Home and Craft Museum Wahlstedt,1058
germany,Theater history collection and Hebbel collection,1037
germany,Historical Museum of the Palatinate,1021
germany,The Inter Media Art Institute,1017
germany,Museums in the Cultural Center,1010
germany,Museum Schloss Moritzburg Zeitz,994
germany,Sylter Heimatmuseum,991
germany,Saarland Museum,957
germany,Jever Castle Museum,913
germany,Kurpfälzisches Museum,907
germany,Elmshorn Industrial Museum,901
germany,Local History Museum Quierschied,896
germany,August Kestner Museum,891
germany,Dr. Carl-Haeberlin Friesen-Museum,869
germany,Centre for Transdisciplinary Gender Studies Humboldt University of Berlin,851
germany,Dithmarscher Landesmuseum,845
germany,Dresden State Art Collections. Albertinum,843
germany,Michael Lüth Office for Environmental Planning,818
germany,BINE Information Service,813
germany,Prince-Pückler-Museum Park and Palace Branitz Foundation,813
germany,Local history museum and archive Bad Bodendorf,755
germany,Berlin Central and Regional Library,754
germany,Museum Charlottenburg-Wilmerdorf,751
germany,"Museum of Musical Instruments, Staatliches Institut für Musikforschung",739
germany,Kunsthalle zu Kiel,720
germany,Theater History Collections at the Freie Universität Berlin,637
germany,Stormarn Village Museum,633
germany,Harz Museum Wernigerode,630
germany,Saarland Clock Museum,626
germany,Schönwalde Village Museum,625
germany,Gerda Schimpf Photo Archive,614
germany,LVR-LandesMuseum Bonn,612
germany,State and University Library Bremen,603
germany,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",568
germany,"Museum Ludwig, Cologne",567
germany,Lette Verein Berlin,563
germany,Dresden State Art Collections. Royal Cabinet of Mathematical and Physical Instruments,558
germany,Allmers-Haus,557
germany,German Maritime Museum. Collection,536
germany,Kunsthalle St. Annen,527
germany,Magnus-Hirschfeld-Gesellschaft,519
germany,Forum Internationale Wissenschaft Bonn,517
germany,Digital Art and Culture Archive Düsseldorf,510
germany,Berlin Sports Museum,503
germany,Pankow Art Collection,494
germany,Museum of Medical & Pharmaceutical History,479
germany,Museum Farm Lensahn,476
germany,Institute for Saxon History and Folklore,474
germany,City Museum - Warleberger Hof,467
germany,Diözesanarchiv Limburg,457
germany,City Museum Wadern,450
germany,Bavarian Army Museum,439
germany,Langes Tannen Museum,433
germany,St. Annen Museum,430
germany,Saarland Mining Museum,419
germany,Gorleben Archiv e.V.,413
germany,Pinneberg Museum,408
germany,HausBoden Art and History – Society and Memory,390
germany,City Archive Würzburg,384
germany,Sparkassenstiftung Schleswig-Holstein,375
germany,Old Frisian House,361
germany,Oderberg Inland Navigation Museum,356
germany,"State Palaces , Castles and Gardens of Saxony",356
germany,LLL eV - Lesbian Archive Frankfurt am Main,347
germany,Bernhard-Heiliger-Stiftung,328
germany,Stiftung Schloss und Park Benrath,328
germany,Archiv Flughafen Tempelhof,323
germany,Mitte Museum,322
germany,Cultural Office of the State Capital Düsseldorf,309
germany,Friedrich Wilhelm Murnau Foundation,302
germany,Kunsthalle Bielefeld,299
germany,European Roma Institute for Arts and Culture,298
germany,City Museums Freiburg,292
germany,University Library 'Georgius Agricola' TU Bergakademie Freiberg,285
germany,Christian Art Foundation Wittenberg,282
germany,Museum of Cultural History Prenzlau,275
germany,Terre des Femmes Documentation Center,271
germany,Kranichhaus. Museum des Landes Hadeln,270
germany,Käseglocke Worpswede,267
germany,Museum-digital,263
germany,Museum in Pritzwalk,253
germany,Nordfriesland Museum Nissenhaus,248
germany,Institute of Low German language e. V.,247
germany,Museum of the landscape Eiderstedt,237
germany,Kurt Tucholsky Literature Museum,234
germany,Museum HAUS HANSESTADT DANZIG,228
germany,Institut des Hautes Études Scientifiques,227
germany,Förderverein Sammlung Heinz Kirchhoff e.V.,224
germany,Kiln and Ceramics Museum Velten,224
germany,Schleswig Folklore Museum,223
germany,Ernst Busch University of Theatre Arts Berlin,219
germany,Geomuseum of WWU,216
germany,"Numismatic Collection, Berlin State Museums",208
germany,Institute of Geometry of the Technical University of Dresden,201
germany,Lindau Nobel Laureate Meetings,201
germany,Ruhr University Bochum,194
germany,District Archeology Rotenburg (Wümme),193
germany,Museum of Cloth and Technology,185
germany,Museum Schloss Herzberg,184
germany,MONAliesA Feminist Library,181
germany,Federal Archives of Germany,177
germany,Schiffahrtsmuseum der oldenburgischen Unterweser e. V.,176
germany,Women's City Archive Hamburg,176
germany,Müllrose Local History Museum in the guest house,174
germany,Artothek Eckernförde,171
germany,Female gender library Saar,164
germany,Institut für den Wissenschaftlichen Film,160
germany,Village Museum Schacht-Audorf,159
germany,Dat ole Hus,156
germany,Terra Sigillata Museum,150
germany,City Museum Schleswig,146
germany,Heinrich-Heine-Institut und Schumann-Haus,137
germany,Archaeological Museum of the University of Münster,132
germany,Obernfeld Local History Museum,129
germany,Umbruch image archive,126
germany,Archive DENKtRÄUME/Hamburg women's library,125
germany,District museums Alte Bischofsburg with Museum of the Thirty Years' War,121
germany,School of Art and Design Kassel,108
germany,Museums Jüterbog,103
germany,HfG-Archive Ulm,102
germany,Brandenburg Main and State Stud Foundation,100
germany,"Paul Jerabek, Julian Hegemann, Andreas Authmann",99
germany,House of the Wannsee Conference,98
germany,German Shoe Museum,96
germany,Offenbach University of Art and Design,96
germany,Forum for Artists' Estates,93
germany,"Natural History Museum, Bielefeld",92
germany,Transmediale festival,92
germany,Darmstadt University of Applied Sciences,91
germany,Detlefsen Museum in Brockdorff-Palais,91
germany,Europeana 1989,91
germany,Heinz Nixdorf MuseumsForum,91
germany,German Chair Making Museum,86
germany,Sylter Heimatmuseum Söl'ring Foriining Sylter Verein e.V.,83
germany,Portal zur Geschichte - Sammlung Frauenstift Gandersheim,82
germany,Stiftung Deutsches Technikmuseum Berlin. Historisches Archiv,76
germany,Cologne Women's History Association,74
germany,Urban and regional museum in the castle to Lubben,74
germany,RheinMain University of Applied Sciences,70
germany,Rendsburg Municipal Archive,68
germany,Museum Eckernförde,61
germany,Brandenburg Textile Museum,60
germany,German Informatics Society,60
germany,Lippmann-Rau Music Archive,60
germany,Museum Abtei Liesborn,59
germany,Academy of Sciences and Literature Mainz,54
germany,Heikendorf Art Museum - Kiel Fjord,54
germany,Local History Museum an der Mühle,53
germany,Landesfilmsammlung Baden-Württemberg,52
germany,KERAMIK.UM Ausstellungs- und Aktionshaus Fredelsloh,51
germany,Posterstein Castle Museum,51
germany,ASSETS,49
germany,The German Sport and Olympic Museum,49
germany,Alfred Wegener Museum,47
germany,SciFox,46
germany,Ethnographic Sound Recordings Archive,44
germany,"Gustaf Dalman Institute, University of Greifswald",44
germany,Verden District Archives,43
germany,Aquazoo Löbbecke Museum,42
germany,Cottbus City Museum,39
germany,"Museum in the Stone Gate, Anklam",38
germany,Leibniz University Hannover,37
germany,Madonna – Archive and Documentation Center for SEX WORK,35
germany,Museum Schloss Fürstenberg,32
germany,Nikolausberg Museum Local History,32
germany,Fire Museum Schleswig-Holstein,30
germany,Museum Schwedenspeicher,27
germany,University of Potsdam,27
germany,IMAGINARY gGmbH,26
germany,Math.space,25
germany,Larger Than Life,23
germany,International Union of Crystallography,22
germany,Institute of Computer Science - Foundation for Research and Technology Hellas,20
germany,World Heritage Rammelsberg,20
germany,City Gallery Kiel,19
germany,Coastal Research Centre,18
germany,ROM Technik,18
germany,Carl von Ossietzky University of Oldenburg,17
germany,Helene Lange Archive,17
germany,Weierstrass Institute,17
germany,Laserinstitut Hochschule Mittweida,16
germany,Short Film Agency Hamburg,16
germany,University of Applied Sciences Ravensburg-Weingarten,15
germany,Institute for Social-Ecological Research,13
germany,Göttingen City Archive,12
germany,University of Hildesheim Foundation,12
germany,Herbert Gerisch Foundation,11
germany,Schleswig-Holstein State Museums Foundation Schloss Gottorf,11
germany,Berlin-Brandenburg Broadcasting,10
germany,Brandenburg States Museum of Modern Art,10
germany,Buchstabenmuseum,10
germany,City and Industry Museum Guben,10
germany,Helmholtz Centre Potsdam German Research Centre for Geosciences GFZ,10
germany,Natural History Museum Leipzig,10
germany,New National Gallery,10
germany,Italian National Film Library,9
germany,Center for Interdisciplinary Research,7
germany,Nordfriisk Instituut,3
germany,"Archiv der Berlin-Brandenburgischen Akademie der
         Wissenschaften",2
germany,Prussian Cultural Heritage Foundation,2
germany,The Film Museum Potsdam,2
germany,"Alte Pinakothek, Munich",1
germany,"Berlin Gallery, Museum of Modern Art",1
germany,Eidgenössische Technische Hochschule Zürich,1
germany,Elektrocouture,1
germany,House of the History of the Federal Republic of Germany,1
germany,"Institut für Film und Bild in Wissenschaft und Unterricht, Abteilung Hochschule und Forschung",1
germany,Jewish Community Wiesbaden,1
germany,"Kunstsammlung Nordrhein-Westfalen, Düsseldorf",1
germany,Mainz University of Applied Sciences,1
germany,Museum for Hamburg History,1
germany,"Museums Böttcherstrasse, Paula Modersohn-Becker Museum, Bremen",1
germany,Polygon Planet,1
germany,Sprengel Museum Hannover,1
germany,Thuringian University and State Library Jena,1
germany,University of Bremen,1
germany,Zentrum für Netzkunst,1
