country,provider,count
Spain,Sanctuary of Arantzazu,1027
Spain,Museum of Cadiz,1007
Spain,Museum of Menorca,995
Spain,Ramón y Cajal Secondary School of Huesca,976
Spain,Zaragoza City Council Collection of Artistic Works,935
Spain,Art and Nature Centre,911
Spain,Museum of Design of Barcelona,834
Spain,Bilbao Municipal Library Network,787
Spain,Andalusian Centre of Contemporary Art,700
Spain,Santa Cruz Museum,644
Spain,Municipal Archive of Huelva,638
Spain,Educational Digital Library of Murcia,633
Spain,Museum of Ávila,625
Spain,Massó Museum,616
Spain,Archaeological and Palaeontological Museum of the Community of Madrid,597
Spain,University of the Basque Country,566
Spain,Cantabrian Maritime Museum,565
Spain,Juan Cabré Museum,559
Spain,Museum of Cultures of the World,550
Spain,Thyssen-Bornemisza Museum,535
Spain,Getxo Municipal Libraries,525
Spain,Julio Gavín Drawing Museum. Larrés Castle,508
Spain,Museum of Fine Arts of La Coruña,494
Spain,San Isidro Museum. The origins of Madrid,482
Spain,ICO Museum,468
Spain,Fundación Felipe González,436
Spain,Calatayud Museum,431
Spain,Paleontological Ensemble of Teruel Foundation Museum,426
Spain,ERESBIL. Musikaren Euskal Artxiboa - Archivo Vasco de la Música,416
Spain,Museum of Carlism,395
Spain,Historical Archive of the Nobility,391
Spain,Museum of Valladolid,368
Spain,Museum of Contemporary Art of Madrid,366
Spain,Museum of Albarracín,357
Spain,"""Pilar Aróstegui"" Municipal Archive",352
Spain,Museum of Palencia,333
Spain,Ethnographic Museum of Cantabria,322
Spain,Ric House. Barons of Valdeolivos Palace,316
Spain,Llodio Municipal Library,294
Spain,Spanish Public Television and Radio (RTVE),290
Spain,Museum of Prehistory and Archaeology of Cantabria,289
Spain,Royal Basque Society of the Friends of the Country,282
Spain,Museum of Popular Beliefs and Religiosity of the Aragonese Pyrenees,278
Spain,Cervantes Birthplace Museum,276
Spain,Archaeological Museum of Úbeda,275
Spain,Word Archive of Castilla La Mancha,274
Spain,Museum of the Cultural Park of Molinos,274
Spain,El Greco Museum,263
Spain,Museum of the Theatre of Caesaraugusta,261
Spain,Daroca Regional Museum,260
Spain,CA2M Dos de Mayo Art Centre,240
Spain,Museum of Popular Arts and Customs of Alto Guadalquivir,222
Spain,Brújula. Repositorio Institucional en acceso abierto de la Universidad Loyola,217
Spain,Museum of Goya's Engravings,213
Spain,Catalunya Film Archive,208
Spain,Government of Catalonia. Vallès Occidental County Archives,207
Spain,Museum of Cuenca,207
Spain,Museum of Salamanca,200
Spain,Museum of Segovia,197
Spain,Museum of León,195
Spain,Pablo Gargallo Museum,190
Spain,Government of Catalonia. Anoia County Archives,180
Spain,Museo de Guadalajara,179
Spain,Lope de Vega House Museum,179
Spain,Cervantes House Museum,178
Spain,e-archivo Universidad Carlos III de Madrid,175
Spain,Dispersed Municipal Collection and Hermitage of San Antonio de la Florida (Madrid),172
Spain,Fire and Firefighters Museum,172
Spain,Monographic Museum of the Viladonga Hillfort,165
Spain,Diocesan Museum of Jaca,156
Spain,Ciudad Real Museum,151
Spain,Mozaika,150
Spain,Museum of Zamora,146
Spain,Francisco Giner de los Ríos Foundation,136
Spain,The Prado Museum,124
Spain,Digital Historical Map Library of Extremadura,120
Spain,Goya Secondary School of Zaragoza,112
Spain,Jovellanos Birthplace Museum,108
Spain,Government of Catalonia. Alt Empordà County Archives,105
Spain,Vega del Turia Secondary School of Teruel,101
Spain,Salvador Victoria Foundation-Museum,99
Spain,Archive of Sound and Image of Mallorca,97
Spain,AD&D 4D Association for 4D Documentation and Dissemination,97
Spain,Nicanor Piñole Museum,96
Spain,University of Valencia,92
Spain,Zaragoza School of Arts,91
Spain,Manuel Lekuona Municipal Library of Oiartzun,90
Spain,Juan San Martín Municipal Library of Eibar,83
Spain,Asturias Railway Museum,83
Spain,Government of Catalonia. Historical Archive of Tarragona,80
Spain,Natural Archaeological Park of the Campa Torres,77
Spain,Museum of the Forum of Caesaraugusta,69
Spain,Picasso Museum. Eugenio Arias Collection,66
Spain,Museum of Health and Public Hygiene,65
Spain,National Library of Spain. Historical-Artistic Collection,64
Spain,Museum of Burgos,62
Spain,Numantine Museum of Soria,55
Spain,National Museum of Science and Technology,55
Spain,Spanish Cinemathèque,54
Spain,Museum of the Public Baths of Caesaraugusta,36
Spain,Catalan Cultural Heritage Agency,33
Spain,Museum of the Roman Villa of Veranes,29
Spain,Pallars Sobirà County Archives,28
Spain,Railway Museum of Madrid,28
Spain,Madrazo Collection. Community of Madrid,28
Spain,Ermua Municipal Library,27
Spain,Digitalizacio,27
Spain,Interpretation Centre of Nuevo Baztán,24
Spain,Arte Ederren Bilboko Museoa,24
Spain,Museum of the River Port of Caesaraugusta,23
Spain,Museum of the Roman Baths of Campo Valdés,21
Spain,Joan Capdevila Nogués Fund,20
Spain,Integra Tecnología,17
Spain,General Archive of the Administration,15
Spain,Government of Catalonia. Conca de Barberà County Archives,14
Spain,"National Historical Central Archives, Bucharest",13
Spain,Muskizko Udal-Liburutegia,13
Spain,Artium Museoa. Euskal Herriko Arte Garaikidearen Museoa,12
Spain,Temple of Debod,12
Spain,Valencian Institute of Cinematography,9
Spain,Sanctuary of Loyola,7
Spain,Euskariana,6
Spain,Government of Catalonia. Segarra County Archives,6
Spain,Government of Catalonia. Ripollès County Archives,4
Spain,Parish of Santa María del Pi and Sant Just,4
Spain,Bilboko Euskal Museoa,2
Spain,Digital Library Memory of Madrid,2
Spain,Asociacion Zamora Protohistorica,1
Spain,Armagintzaren Museoa,1
Spain,Instituto de Turismo de España  (Turespaña),1
Spain,Historical Library of Santa Cruz,1
Spain,Documentation Center of Historical Memory,1
