country,provider,count
Germany,"Old National Gallery, Berlin State Museums",2108
Germany,Neanderthal Museum,2103
Germany,Max Planck Institute for the History of Science,2035
Germany,City Museum of Düsseldorf,2017
Germany,"Maya Image Archive - Image database of the project ""Text Database and Dictionary of Classic Maya"" at the University of Bonn - Department of Anthropology of the Americas",1908
Germany,"Mill Association Berlin-Brandenburg eV, historic mill of Sanssouci",1845
Germany,"Sculpture Collection and Museum of Byzantine Art, Staatliche Museen zu Berlin",1791
Germany,Handel House,1791
Germany,Einbeck City Museum,1788
Germany,"Museum of Decorative Arts, Staatliche Museen zu Berlin",1751
Germany,Mathildenhöhe Institute,1739
Germany,Dresden State Art Collections. Old Masters Picture Gallery,1637
Germany,Museum village Cloppenburg - Lower Saxony,1625
Germany,Dresden State Art Collections. Green Vault,1623
Germany,Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures,1601
Germany,Schleswig-Holstein State Library,1595
Germany,Dresden State Art Collections. Armoury,1586
Germany,German Museum of Technology,1573
Germany,Hetjens – German Museum of Ceramics,1560
Germany,German Text Archive,1547
Germany,Museumsberg Flensburg,1483
Germany,"Picture Gallery, Berlin State Museums",1368
Germany,Museum for Sepulchral Culture,1362
Germany,City Museum Bad Dürkheim in the cultural center Haus Catoir,1313
Germany,"Museum of the Ancient Near East, Berlin State Museums",1265
Germany,Berlin Wall Foundation,1242
Germany,"Egyptian Museum and Papyrus Collection, Berlin State Museums",1236
Germany,German Clock Museum,1234
Germany,Rheinisches Schützenmuseum Neuss with Joseph-Lange-Schützenarchiv,1203
Germany,"Bröhan-Museum, Berlin",1102
Germany,Home and Craft Museum Wahlstedt,1058
Germany,Theater history collection and Hebbel collection,1037
Germany,Historical Museum of the Palatinate,1021
Germany,The Inter Media Art Institute,1017
Germany,Museums in the Cultural Center,1010
Germany,Museum Schloss Moritzburg Zeitz,994
Germany,Sylter Heimatmuseum,991
Germany,Saarland Museum,957
Germany,Jever Castle Museum,913
Germany,Kurpfälzisches Museum,907
Germany,Elmshorn Industrial Museum,901
Germany,Local History Museum Quierschied,896
Germany,August Kestner Museum,891
Germany,Dr. Carl-Haeberlin Friesen-Museum,869
Germany,Centre for Transdisciplinary Gender Studies Humboldt University of Berlin,851
Germany,Dithmarscher Landesmuseum,845
Germany,Dresden State Art Collections. Albertinum,843
Germany,Michael Lüth Office for Environmental Planning,818
Germany,BINE Information Service,813
Germany,Prince-Pückler-Museum Park and Palace Branitz Foundation,813
Germany,Local history museum and archive Bad Bodendorf,755
Germany,Berlin Central and Regional Library,754
Germany,Museum Charlottenburg-Wilmerdorf,751
Germany,"Museum of Musical Instruments, Staatliches Institut für Musikforschung",739
Germany,Kunsthalle zu Kiel,720
Germany,Theater History Collections at the Freie Universität Berlin,637
Germany,Stormarn Village Museum,633
Germany,Harz Museum Wernigerode,630
Germany,Saarland Clock Museum,626
Germany,Schönwalde Village Museum,625
Germany,Gerda Schimpf Photo Archive,614
Germany,LVR-LandesMuseum Bonn,612
Germany,State and University Library Bremen,603
Germany,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",568
Germany,"Museum Ludwig, Cologne",567
Germany,Lette Verein Berlin,563
Germany,Dresden State Art Collections. Royal Cabinet of Mathematical and Physical Instruments,558
Germany,Allmers-Haus,557
Germany,German Maritime Museum. Collection,536
Germany,Kunsthalle St. Annen,527
Germany,Magnus-Hirschfeld-Gesellschaft,519
Germany,Forum Internationale Wissenschaft Bonn,517
Germany,Digital Art and Culture Archive Düsseldorf,510
Germany,Berlin Sports Museum,503
Germany,Pankow Art Collection,494
Germany,Museum of Medical & Pharmaceutical History,479
Germany,Museum Farm Lensahn,476
Germany,Institute for Saxon History and Folklore,474
Germany,City Museum - Warleberger Hof,467
Germany,Diözesanarchiv Limburg,457
Germany,City Museum Wadern,450
Germany,Bavarian Army Museum,439
Germany,Langes Tannen Museum,433
Germany,St. Annen Museum,430
Germany,Saarland Mining Museum,419
Germany,Gorleben Archiv e.V.,413
Germany,Pinneberg Museum,408
Germany,HausBoden Art and History – Society and Memory,390
Germany,City Archive Würzburg,384
Germany,Sparkassenstiftung Schleswig-Holstein,375
Germany,Old Frisian House,361
Germany,Oderberg Inland Navigation Museum,356
Germany,"State Palaces , Castles and Gardens of Saxony",356
Germany,LLL eV - Lesbian Archive Frankfurt am Main,347
Germany,Bernhard-Heiliger-Stiftung,328
Germany,Stiftung Schloss und Park Benrath,328
Germany,Archiv Flughafen Tempelhof,323
Germany,Mitte Museum,322
Germany,Cultural Office of the State Capital Düsseldorf,309
Germany,Friedrich Wilhelm Murnau Foundation,302
Germany,Kunsthalle Bielefeld,299
Germany,European Roma Institute for Arts and Culture,298
Germany,City Museums Freiburg,292
Germany,University Library 'Georgius Agricola' TU Bergakademie Freiberg,285
Germany,Christian Art Foundation Wittenberg,282
Germany,Museum of Cultural History Prenzlau,275
Germany,Terre des Femmes Documentation Center,271
Germany,Kranichhaus. Museum des Landes Hadeln,270
Germany,Käseglocke Worpswede,267
Germany,Museum-digital,263
Germany,Museum in Pritzwalk,253
Germany,Nordfriesland Museum Nissenhaus,248
Germany,Institute of Low German language e. V.,247
Germany,Museum of the landscape Eiderstedt,237
Germany,Kurt Tucholsky Literature Museum,234
Germany,Museum HAUS HANSESTADT DANZIG,228
Germany,Institut des Hautes Études Scientifiques,227
Germany,Kiln and Ceramics Museum Velten,224
